iter	Passed	Remaining
879	1928	262
880	1930	260
881	1932	258
882	1934	256
883	1937	254
884	1939	252
885	1942	249
886	1944	247
887	1947	245
888	1949	243
889	1951	241
890	1953	239
891	1956	236
892	1958	234
893	1960	232
894	1962	230
895	1964	228
896	1967	225
897	1969	223
898	1971	221
899	1973	219
900	1975	217
901	1978	214
902	1980	212
903	1982	210
904	1984	208
905	1987	206
906	1989	203
907	1991	201
908	1993	199
909	1995	197
910	1997	195
911	2000	193
912	2002	190
913	2004	188
914	2006	186
915	2008	184
916	2010	182
917	2013	179
918	2016	177
919	2018	175
920	2020	173
921	2023	171
922	2025	168
923	2027	166
924	2029	164
925	2032	162
926	2034	160
927	2037	158
928	2040	155
929	2042	153
930	2045	151
931	2047	149
932	2049	147
933	2051	144
934	2053	142
935	2055	140
936	2057	138
937	2059	136
938	2062	133
939	2064	131
940	2066	129
941	2068	127
942	2070	125
943	2072	122
944	2075	120
945	2077	118
946	2079	116
947	2081	114
948	2083	111
949	2085	109
950	2087	107
951	2089	105
952	2091	103
953	2093	100
954	2095	98
955	2098	96
956	2100	94
957	2102	92
958	2104	89
959	2106	87
960	2108	85
961	2110	83
962	2112	81
963	2115	78
964	2117	76
965	2119	74
966	2121	72
967	2123	70
968	2125	67
969	2127	65
970	2129	63
971	2131	61
972	2133	59
973	2135	57
974	2138	54
975	2140	52
976	2142	50
977	2144	48
978	2146	46
979	2148	43
980	2150	41
981	2152	39
982	2154	37
983	2156	35
984	2158	32
985	2160	30
986	2163	28
987	2165	26
988	2167	24
989	2169	21
990	2171	19
991	2173	17
992	2175	15
993	2177	13
994	2179	10
995	2181	8
996	2183	6
997	2185	4
998	2187	2
999	2189	0
